#options: 960x540 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=260 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:42.46 aq:38.34 tex:41881 mv:23496 misc:175 imb:2040 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:43.44 aq:39.36 tex:9158 mv:5352 misc:1306 imb:208 pmb:403 smb:1429 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:43.44 aq:42.04 tex:596 mv:3094 misc:718 imb:20 pmb:548 smb:1472 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:43.44 aq:44.17 tex:663 mv:4142 misc:723 imb:17 pmb:547 smb:1476 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:43.44 aq:44.92 tex:221 mv:969 misc:514 imb:0 pmb:94 smb:1946 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:43.43 aq:42.00 tex:5291 mv:4169 misc:1348 imb:266 pmb:312 smb:1462 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:43.43 aq:41.99 tex:1164 mv:1818 misc:642 imb:43 pmb:234 smb:1763 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:43.44 aq:42.49 tex:119 mv:509 misc:436 imb:1 pmb:83 smb:1956 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:43.43 aq:42.24 tex:829 mv:1333 misc:550 imb:38 pmb:91 smb:1911 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:43.19 aq:42.71 tex:3295 mv:2985 misc:960 imb:237 pmb:154 smb:1649 d:- ref:0 ;
in:10 out:10 type:i dur:2 cpbdur:2 q:40.63 aq:34.31 tex:96329 mv:34218 misc:157 imb:2040 pmb:0 smb:0 d:- ref:;
in:14 out:11 type:P dur:2 cpbdur:2 q:45.51 aq:39.00 tex:518 mv:1673 misc:1001 imb:29 pmb:214 smb:1797 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:45.51 aq:42.75 tex:67 mv:872 misc:557 imb:5 pmb:133 smb:1902 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:45.51 aq:47.00 tex:10 mv:452 misc:498 imb:0 pmb:99 smb:1941 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:45.51 aq:43.00 tex:16 mv:568 misc:432 imb:2 pmb:68 smb:1970 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:50.89 aq:42.00 tex:166 mv:1353 misc:809 imb:32 pmb:156 smb:1852 d:s ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:48.20 aq:36.72 tex:56 mv:1215 misc:745 imb:8 pmb:145 smb:1887 d:t ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:46.85 aq:44.88 tex:61 mv:854 misc:557 imb:8 pmb:102 smb:1930 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:49.55 aq:41.00 tex:6 mv:377 misc:329 imb:0 pmb:44 smb:1996 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:46.89 aq:38.62 tex:1443 mv:2995 misc:1362 imb:87 pmb:292 smb:1661 d:s ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:48.89 aq:41.22 tex:40 mv:998 misc:650 imb:7 pmb:124 smb:1909 d:t ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:49.89 aq:43.00 tex:11 mv:718 misc:455 imb:1 pmb:86 smb:1953 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:47.89 aq:46.79 tex:46 mv:479 misc:363 imb:4 pmb:51 smb:1985 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:47.98 aq:41.59 tex:936 mv:2265 misc:1175 imb:56 pmb:222 smb:1762 d:s ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:47.44 aq:41.00 tex:32 mv:1233 misc:711 imb:5 pmb:146 smb:1889 d:t ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:47.17 aq:41.00 tex:19 mv:745 misc:484 imb:3 pmb:87 smb:1950 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:47.71 aq:43.44 tex:30 mv:441 misc:369 imb:2 pmb:50 smb:1988 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:45.35 aq:40.22 tex:3526 mv:3611 misc:1607 imb:107 pmb:396 smb:1537 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:46.66 aq:40.03 tex:57 mv:1266 misc:797 imb:7 pmb:174 smb:1859 d:t ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:47.32 aq:41.00 tex:16 mv:807 misc:521 imb:0 pmb:100 smb:1940 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:46.01 aq:48.16 tex:25 mv:463 misc:384 imb:1 pmb:55 smb:1984 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:43.57 aq:37.13 tex:6582 mv:4628 misc:1822 imb:166 pmb:523 smb:1351 d:s ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:44.46 aq:42.30 tex:38 mv:676 misc:518 imb:1 pmb:75 smb:1964 d:s ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:44.90 aq:47.00 tex:28 mv:821 misc:567 imb:2 pmb:100 smb:1938 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:44.01 aq:45.00 tex:37 mv:614 misc:485 imb:3 pmb:77 smb:1960 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:42.15 aq:35.16 tex:6592 mv:4972 misc:1852 imb:121 pmb:592 smb:1327 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:42.86 aq:37.62 tex:129 mv:657 misc:534 imb:7 pmb:71 smb:1962 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:43.21 aq:44.29 tex:48 mv:782 misc:650 imb:1 pmb:122 smb:1917 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:42.51 aq:42.25 tex:54 mv:786 misc:552 imb:3 pmb:101 smb:1936 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:41.12 aq:34.58 tex:11393 mv:5493 misc:2050 imb:166 pmb:696 smb:1178 d:s ref:0 ;
